name,type,ra,dec
M1,Sn,75.575,22.016666666666666
M2,Gc,315.55833333333334,0.8166666666666667
M3,Gc,195.70333333333335,28.383333333333333
M4,Gc,240.39333333333335,-25.466666666666665
M5,Gc,225.31,2.0833333333333335
M6,Oc,255.66833333333332,-31.783333333333335
M7,Oc,255.89833333333334,-33.18333333333333
M8,Di,270.06333333333333,-23.616666666666667
M9,Gc,255.32,-17.483333333333334
M10,Gc,240.95166666666665,-3.9
M11,Oc,270.8516666666667,-5.733333333333333
M12,Gc,240.78666666666666,-0.050000000000000044
M13,Gc,240.695,36.46666666666667
M14,Gc,255.62666666666667,-2.75
M15,Gc,315.5,12.166666666666666
M16,Oc,270.31333333333333,-12.216666666666667
M17,Di,270.3466666666667,-15.816666666666666
M18,Oc,270.33166666666665,-16.866666666666667
M19,Gc,255.04333333333332,-25.733333333333334
M20,Di,270.04333333333335,-22.966666666666665
M21,Oc,270.07666666666665,-21.5
M22,Gc,270.6066666666667,-22.1
M23,Oc,255.94666666666666,-18.983333333333334
M24,MW,270.2816666666667,-17.5
M25,Oc,270.52666666666664,-18.75
M26,Oc,270.75333333333333,-8.6
M27,Pl,285.99333333333334,22.716666666666665
M28,Gc,270.40833333333336,-23.133333333333333
M29,Oc,300.3983333333333,38.53333333333333
M30,Gc,315.67333333333335,-22.816666666666666
M31,Sp,0.6966666666666667,41.266666666666666
M32,El,0.7133333333333333,40.86666666666667
M33,Sp,15.565,30.65
M34,Oc,30.7,42.78333333333333
M35,Oc,90.14833333333333,24.333333333333332
M36,Oc,75.60166666666667,34.13333333333333
M37,Oc,75.87333333333333,32.55
M38,Oc,75.47833333333334,35.833333333333336
M39,Oc,315.5366666666667,48.43333333333333
M40,Ds,180.37333333333333,58.083333333333336
M41,Oc,90.78333333333333,-19.266666666666666
M42,Di,75.59,-4.55
M43,Di,75.59333333333333,-4.733333333333333
M44,Oc,120.66833333333334,19.983333333333334
M45,Oc,45.78333333333333,24.116666666666667
M46,Oc,105.69666666666667,-13.183333333333334
M47,Oc,105.61,-13.5
M48,Oc,120.23,-4.2
M49,El,180.49666666666667,8.0
M50,Oc,105.05333333333333,-7.666666666666667
M51,Sp,195.5,47.18333333333333
M52,Oc,345.4033333333333,61.583333333333336
M53,Gc,195.215,18.166666666666668
M54,Gc,270.91833333333335,-29.516666666666666
M55,Gc,285.6666666666667,-29.033333333333335
M56,Gc,285.27666666666664,30.183333333333334
M57,Pl,270.8933333333333,33.03333333333333
M58,Ba,180.62833333333333,11.816666666666666
M59,El,180.7,11.65
M60,El,180.72833333333332,11.55
M61,Sp,180.365,4.466666666666667
M62,Gc,255.02,-29.883333333333333
M63,Sp,195.26333333333332,42.03333333333333
M64,Sp,180.945,21.683333333333334
M65,Sp,165.315,13.083333333333334
M66,Sp,165.33666666666667,12.983333333333333
M67,Oc,120.84,11.816666666666666
M68,Gc,180.65833333333333,-25.25
M69,Gc,270.5233333333333,-31.65
M70,Gc,270.72,-31.7
M71,Gc,285.89666666666665,18.783333333333335
M72,Gc,300.89166666666665,-11.466666666666667
M73,As,300.98333333333335,-11.366666666666667
M74,Sp,15.611666666666666,15.783333333333333
M75,Gc,300.1016666666667,-20.083333333333332
M76,Pl,15.706666666666667,51.56666666666667
M77,Sp,30.711666666666666,0.03333333333333333
M78,Di,75.77833333333334,0.05
M79,Gc,75.40833333333333,-23.45
M80,Gc,240.28333333333333,-21.016666666666666
M81,Sp,135.92666666666668,69.06666666666666
M82,Ir,135.93,69.68333333333334
M83,Sp,195.61666666666667,-28.133333333333333
M84,Ln,180.41833333333332,12.883333333333333
M85,Ln,180.425,18.2
M86,Ln,180.43666666666667,12.95
M87,El,180.51333333333332,12.4
M88,Sp,180.535,14.433333333333334
M89,El,180.595,12.55
M90,Sp,180.61333333333334,13.166666666666666
M91,Ba,180.59166666666667,14.5
M92,Gc,255.285,43.13333333333333
M93,Oc,105.74333333333334,-22.133333333333333
M94,Sp,180.84833333333333,41.13333333333333
M95,Ba,150.73333333333332,11.7
M96,Sp,150.78,11.816666666666666
M97,Pl,165.24666666666667,55.016666666666666
M98,Sp,180.23166666666665,14.916666666666666
M99,Sp,180.315,14.433333333333334
M100,Sp,180.38333333333333,15.833333333333334
M101,Sp,210.05333333333334,54.35
M102,Ln,225.10833333333332,55.766666666666666
M103,Oc,15.553333333333333,60.7
M104,Sp,180.66666666666666,-10.383333333333333
M105,El,150.79666666666665,12.583333333333334
M106,Sp,180.315,47.31666666666667
M107,Gc,240.54166666666666,-12.95
M108,Sp,165.19166666666666,55.666666666666664
M109,Ba,165.96,53.38333333333333
M110,El,0.6733333333333333,41.68333333333333
